phase,epoch,batch,batches_per_epoch,lr,train_loss,train_ber,train_fer,epoch_time_s,cum_updates,cum_time_s
1,154,200,200,9.13e-05,0.0408,0.0159,0.164,14.220128059387207,30800,2202.9168829917908
1,155,200,200,9.12e-05,0.0399,0.0156,0.162,14.260126829147339,31000,2217.177009820938
1,156,200,200,9.11e-05,0.0405,0.016,0.163,14.252047300338745,31200,2231.429057121277
1,157,200,200,9.1e-05,0.0378,0.0148,0.154,14.233392238616943,31400,2245.662449359894
1,158,200,200,9.09e-05,0.0398,0.0157,0.163,14.247519969940186,31600,2259.909969329834
1,159,200,200,9.08e-05,0.0397,0.0156,0.161,14.244258165359497,31800,2274.1542274951935
1,160,200,200,9.07e-05,0.0401,0.0158,0.162,14.227287530899048,32000,2288.3815150260925
1,161,200,200,9.05e-05,0.0394,0.0155,0.16,14.223784685134888,32200,2302.6052997112274
1,162,200,200,9.04e-05,0.0397,0.0156,0.162,14.298387050628662,32400,2316.903686761856
1,163,200,200,9.03e-05,0.0396,0.0155,0.161,14.304067611694336,32600,2331.2077543735504
1,164,200,200,9.02e-05,0.0396,0.0155,0.158,14.374537944793701,32800,2345.582292318344
1,165,200,200,9.01e-05,0.0388,0.0154,0.157,14.333802700042725,33000,2359.916095018387
1,166,200,200,9e-05,0.0382,0.0151,0.154,14.326249361038208,33200,2374.242344379425
1,167,200,200,8.98e-05,0.0384,0.015,0.155,14.30539083480835,33400,2388.5477352142334
1,168,200,200,8.97e-05,0.0379,0.0149,0.154,14.26407527923584,33600,2402.8118104934692
1,169,200,200,8.96e-05,0.0384,0.0151,0.155,14.30525279045105,33800,2417.1170632839203
1,170,200,200,8.95e-05,0.0379,0.0149,0.153,14.335798740386963,34000,2431.4528620243073
1,171,200,200,8.94e-05,0.0379,0.0148,0.152,14.336477756500244,34200,2445.7893397808075
1,172,200,200,8.93e-05,0.0383,0.0151,0.153,14.356041193008423,34400,2460.145380973816
1,173,200,200,8.91e-05,0.0386,0.0153,0.157,14.354597091674805,34600,2474.4999780654907
1,174,200,200,8.9e-05,0.0396,0.0159,0.159,14.304855585098267,34800,2488.804833650589
1,175,200,200,8.89e-05,0.0373,0.0148,0.151,14.290152788162231,35000,2503.094986438751
1,176,200,200,8.88e-05,0.0365,0.0143,0.148,14.34893274307251,35200,2517.4439191818237
1,177,200,200,8.86e-05,0.0387,0.0154,0.156,14.365520000457764,35400,2531.8094391822815
1,178,200,200,8.85e-05,0.0377,0.015,0.155,14.356961011886597,35600,2546.166400194168
1,179,200,200,8.84e-05,0.0382,0.0151,0.152,14.351322650909424,35800,2560.5177228450775
1,180,200,200,8.83e-05,0.0384,0.0151,0.156,14.304637432098389,36000,2574.822360277176
1,181,200,200,8.81e-05,0.0378,0.015,0.154,14.26647686958313,36200,2589.088837146759
1,182,200,200,8.8e-05,0.0383,0.0152,0.153,14.220156908035278,36400,2603.3089940547943
1,183,200,200,8.79e-05,0.0391,0.0154,0.157,14.247550964355469,36600,2617.55654501915
1,184,200,200,8.78e-05,0.0378,0.0151,0.152,14.246852397918701,36800,2631.8033974170685
1,185,200,200,8.76e-05,0.0373,0.0148,0.15,14.262253761291504,37000,2646.06565117836
1,186,200,200,8.75e-05,0.0373,0.0148,0.152,14.259428262710571,37200,2660.3250794410706
1,187,200,200,8.74e-05,0.0373,0.0148,0.151,14.224642038345337,37400,2674.549721479416
1,188,200,200,8.72e-05,0.0371,0.0147,0.15,14.26478362083435,37600,2688.8145051002502
1,189,200,200,8.71e-05,0.0375,0.0149,0.149,14.298139333724976,37800,2703.112644433975
1,190,200,200,8.7e-05,0.0363,0.0146,0.146,14.301841259002686,38000,2717.414485692978
1,191,200,200,8.68e-05,0.0379,0.015,0.151,14.28234076499939,38200,2731.6968264579773
1,192,200,200,8.67e-05,0.0366,0.0145,0.149,14.342618703842163,38400,2746.0394451618195
1,193,200,200,8.66e-05,0.0368,0.0147,0.147,14.372438669204712,38600,2760.411883831024
1,194,200,200,8.65e-05,0.0367,0.0145,0.148,14.312302589416504,38800,2774.7241864204407
1,195,200,200,8.63e-05,0.0377,0.0151,0.151,14.360725164413452,39000,2789.084911584854
1,196,200,200,8.62e-05,0.0368,0.0146,0.148,14.390411853790283,39200,2803.4753234386444
1,197,200,200,8.6e-05,0.0367,0.0147,0.147,14.377979755401611,39400,2817.853303194046
1,198,200,200,8.59e-05,0.0384,0.0152,0.15,14.356734275817871,39600,2832.210037469864
1,199,200,200,8.58e-05,0.0378,0.015,0.149,14.338491916656494,39800,2846.5485293865204
1,200,200,200,8.56e-05,0.0376,0.0149,0.152,14.31210970878601,40000,2860.8606390953064
1,201,200,200,8.55e-05,0.0371,0.0147,0.148,14.22905445098877,40200,2875.089693546295
1,202,200,200,8.54e-05,0.0368,0.0147,0.148,14.24007797241211,40400,2889.3297715187073
1,203,200,200,8.52e-05,0.036,0.0142,0.143,14.266001462936401,40600,2903.5957729816437
1,204,200,200,8.51e-05,0.0369,0.0148,0.148,14.34005093574524,40800,2917.935823917389
1,205,200,200,8.49e-05,0.0351,0.0142,0.141,14.338450908660889,41000,2932.27427482605
1,206,200,200,8.48e-05,0.0376,0.0152,0.151,14.378695487976074,41200,2946.652970314026
1,207,200,200,8.47e-05,0.0355,0.0141,0.144,14.349364995956421,41400,2961.0023353099823
1,208,200,200,8.45e-05,0.0354,0.0141,0.143,14.330554008483887,41600,2975.332889318466
1,209,200,200,8.44e-05,0.0367,0.0146,0.147,14.318196773529053,41800,2989.6510860919952
1,210,200,200,8.42e-05,0.036,0.0144,0.143,14.309773921966553,42000,3003.960860013962
1,211,200,200,8.41e-05,0.0358,0.0144,0.146,14.269778490066528,42200,3018.2306385040283
1,212,200,200,8.4e-05,0.0363,0.0145,0.146,14.214313268661499,42400,3032.44495177269
1,213,200,200,8.38e-05,0.0371,0.0149,0.149,14.297371864318848,42600,3046.7423236370087
1,214,200,200,8.37e-05,0.0362,0.0145,0.145,14.29667615890503,42800,3061.0389997959137
1,215,200,200,8.35e-05,0.0358,0.0141,0.141,14.347516775131226,43000,3075.386516571045
1,216,200,200,8.34e-05,0.0366,0.0146,0.146,14.360039710998535,43200,3089.7465562820435
1,217,200,200,8.32e-05,0.036,0.0144,0.144,14.344835996627808,43400,3104.0913922786713
1,218,200,200,8.31e-05,0.0361,0.0145,0.144,14.365633249282837,43600,3118.457025527954
1,219,200,200,8.29e-05,0.0366,0.0147,0.147,14.360482931137085,43800,3132.817508459091
1,220,200,200,8.28e-05,0.0371,0.0148,0.147,14.268226623535156,44000,3147.0857350826263
1,221,200,200,8.26e-05,0.0354,0.0142,0.142,14.164323329925537,44200,3161.250058412552
