epoch,learning_rate,loss,ber,fer,train_time_seconds,is_best_loss
349,2.19e-05,0.0267,0.0109,0.0984,70.15989971160889,False
350,2.17e-05,0.0268,0.0109,0.0989,70.56050992012024,False
351,2.14e-05,0.027,0.011,0.099,70.83111763000488,False
352,2.12e-05,0.0267,0.0109,0.0982,70.51341080665588,False
353,2.09e-05,0.0272,0.0111,0.0999,70.11510872840881,False
354,2.07e-05,0.0273,0.0111,0.0994,70.45752143859863,False
355,2.04e-05,0.0271,0.0111,0.0994,70.20605278015137,False
356,2.02e-05,0.0268,0.011,0.0979,69.9800705909729,False
357,1.99e-05,0.0267,0.0109,0.0985,70.61709117889404,False
358,1.97e-05,0.0268,0.0109,0.0979,70.12674355506897,False
359,1.94e-05,0.0271,0.0111,0.0997,70.33281350135803,False
360,1.92e-05,0.0271,0.011,0.0994,70.81924319267273,False
361,1.89e-05,0.0267,0.0109,0.0978,70.21956777572632,False
362,1.87e-05,0.0271,0.0111,0.0996,70.57951164245605,False
363,1.85e-05,0.0269,0.011,0.0991,70.30875849723816,False
364,1.82e-05,0.0268,0.0109,0.0988,70.20271110534668,False
365,1.8e-05,0.0268,0.011,0.098,70.47225594520569,False
366,1.78e-05,0.0271,0.011,0.0984,70.45337128639221,False
367,1.75e-05,0.0268,0.0109,0.0982,70.53506588935852,False
368,1.73e-05,0.0266,0.0109,0.0973,70.34761190414429,False
369,1.71e-05,0.0265,0.0108,0.0974,70.31331324577332,False
370,1.68e-05,0.0262,0.0107,0.0966,70.13918495178223,True
371,1.66e-05,0.0271,0.0111,0.0992,70.32856273651123,False
372,1.64e-05,0.0271,0.0111,0.0992,70.60832238197327,False
373,1.62e-05,0.0266,0.0109,0.0974,70.6301097869873,False
374,1.59e-05,0.0271,0.0111,0.0992,70.11204767227173,False
375,1.57e-05,0.0267,0.0109,0.0977,70.17796564102173,False
376,1.55e-05,0.0269,0.011,0.0984,70.37537455558777,False
377,1.53e-05,0.0271,0.0111,0.0994,70.486656665802,False
378,1.51e-05,0.0269,0.011,0.0986,70.59909200668335,False
379,1.48e-05,0.0263,0.0107,0.0969,70.0405375957489,False
380,1.46e-05,0.0265,0.0108,0.0972,70.16273045539856,False
381,1.44e-05,0.0264,0.0108,0.0964,69.9684476852417,False
